microchip;species;sex;size;potentDangerous;neighborhood,,,,,,
97810108191876;FELINO;HEMBRA;PEQUEÑO;NO;USAQUEN,,,,,,
900032001933212;CANINO;MACHO;PEQUEÑO;NO;USAQUEN,,,,,,
900113000007963;CANINO;MACHO;MEDIANO;NO;USAQUEN,,,,,,
900113000009612;CANINO;MACHO;PEQUEÑO;NO;USAQUEN,,,,,,
900113000295781;CANINO;MACHO;GRANDE;NO;CHAPINERO,,,,,,
900113000295784;CANINO;MACHO;GRANDE;NO;CHAPINERO,,,,,,
900113000295907;CANINO;HEMBRA;MUY GRANDE;NO;CHAPINERO,,,,,,
900250000596690;CANINO;MACHO;GRANDE;SI;SANTA FE,,,,,,
900250000596693;FELINO;MACHO;PEQUEÑO;NO;SANTA FE,,,,,,
900250000597067;CANINO;MACHO;MEDIANO;NO;SANTA FE,,,,,,
900250000597071;CANINO;HEMBRA;MEDIANO;NO;SANTA FE,,,,,,
900250000597073;CANINO;HEMBRA;GRANDE;NO;SANTA FE,,,,,,
900250000597077;CANINO;MACHO;MEDIANO;SI;SANTA FE,,,,,,
991001001135113;CANINO;MACHO;MINIATURA;NO;SAN CRISTOBAL,,,,,,
991001001135116;CANINO;HEMBRA;PEQUEÑO;NO;SAN CRISTOBAL,,,,,,
991001001135117;CANINO;HEMBRA;PEQUEÑO;NO;SAN CRISTOBAL,,,,,,
991001001135120;CANINO;HEMBRA;MINIATURA;NO;SAN CRISTOBAL,,,,,,
991001001135177;CANINO;MACHO;GRANDE;NO;SAN CRISTOBAL,,,,,,
991001001135218;CANINO;MACHO;PEQUEÑO;NO;SAN CRISTOBAL,,,,,,
991001001135172;CANINO;MACHO;MINIATURA;NO;USME,,,,,,
991001001135173;CANINO;MACHO;MINIATURA;NO;USME,,,,,,
991001001135179;CANINO;HEMBRA;MINIATURA;NO;USME,,,,,,
999111000004798;CANINO;HEMBRA;PEQUEÑO;NO;USME,,,,,,
991001001135244;CANINO;MACHO;PEQUEÑO;NO;TUNJUELITO,,,,,,
991001001135251;CANINO;HEMBRA;PEQUEÑO;NO;TUNJUELITO,,,,,,
991001001135260;CANINO;MACHO;PEQUEÑO;NO;TUNJUELITO,,,,,,
